SID,MATRICULA,CVE_PROGRAMA,ESTADO,PERIODO,FECHA_ACT
2706,2021A02706,LICO2020MX,Activo,2023CC,2024-08-14
2707,2024A02707,LIDN2022MX,Activo,2025CA,2025-02-09
2708,2019C02708,LIED2020MX,Egresado,2021CC,2024-07-21
2709,2024A02709,LIIN2020MX,Activo,2025CA,2024-06-24
2710,2024A02710,LIDN2022MX,Activo,2025CA,2025-03-03
2711,2024A02711,LIGA2020MX,Baja Temporal,2024CC,2025-01-17
2712,2025A02712,LIAD2020MX,Activo,2025CA,2024-09-04
2713,2023B02713,LIGA2020MX,Activo,2024CC,2024-10-12
2714,2022A02714,LIME2020MX,Egresado,2024CC,2025-01-14
2715,2023C02715,LIDE2020MX,Baja Temporal,2025CA,2024-09-14
2716,2021C02716,LIDE2020MX,Titulado,2023CC,2024-12-18
2717,2024B02717,LISC2020MX,Activo,2024CC,2024-07-17
2718,2023A02718,LICI2020MX,Baja Definitiva,2025CA,2024-07-31
2719,2022A02719,LICI2020MX,Titulado,2024CC,2024-08-08
2720,2022B02720,LIDE2020MX,Egresado,2024CC,2025-01-06
2721,2023A02721,LIGA2020MX,activo,2024CC,2025-03-09
2722,2022B02722,LIDE2020MX,Activo,2024CC,2024-08-20
2723,2024C02723,LIDN2022MX,Activo,2024CC,2024-10-26
2724,2020A02724,LIAD2020MX,Egresado,2022CC,2024-10-17
2725,2024A02725,LIEN2022MX,Activo,2024CC,2025-03-12
2726,2022A02726,LIDN2022MX,Titulado,2024CC,2024-09-19
2727,2021A02727,LIED2020MX,Titulado,2023CC,2024-11-08
2728,2023A02728,LIEN2022MX,Activo,2025CA,2024-08-27
2729,2024B02729,LICO2020MX,Activo,2025CA,2024-10-15
2730,2022A02730,LIME2020MX,Titulado,2024CC,2024-08-29
2731,2024C02731,LISC2020MX,Baja Definitiva,2025CA,2025-01-27
2732,2022B02732,LISC2020MX,Activo,2024CC,2024-09-18
2733,2018B02733,LIDE2020MX,Baja Definitiva,2020CC,2024-12-03
2733,2018B02733,LIDE2020MX,Baja Definitiva,2020CC,2024-12-03
2734,2022C02734,LIGA2020MX,Activo,2024CC,2025-02-14
2735,2020C02735,LIGA2020MX,Egresado,2022CC,2024-09-16
2736,2023B02736,LICI2020MX,Baja Definitiva,2025CA,2024-08-19
2737,2020C02737,LIDE2020MX,Egresado,2022CC,2025-03-15
2738,2019B02738,LICO2020MX,Activo,2021CC,2024-08-28
2739,2022A02739,LIEN2022MX,Activo,2024CC,2024-08-09
2740,2022B02740,LIIN2020MX,Egresado,2024CC,2024-08-12
2741,2020A02741,LIEN2022MX,Egresado,2023CA,2025-01-02
2742,2024A02742,LIAD2020MX,Activo,2025CA,2025-01-16
2743,2020A02743,LIME2020MX,Titulado,2022CC,2024-09-13
2744,2024A02744,LIGA2020MX,Activo,2024CC,2024-09-23
2745,2019B02745,LIAD2020MX,Egresado,2021CC,2024-07-13
2746,2023A02746,LICO2020MX,Activo,2024CC,2025-02-26
2747,2021C02747,LIIN2020MX,Activo,2023CC,2024-11-11
2748,2019A02748,LICO2020MX,Egresado,2021CC,2024-10-05
2749,2021B02749,LIDN2022MX,Baja Definitiva,2023CC,2025-02-28
2750,2020C02750,LIAD2020MX,Baja Definitiva,2022CC,2024-10-03
2751,2022A02751,LIIN2020MX,Activo,2024CC,2024-08-01
2752,2020C02752,LIDN2022MX,Activo,2022CC,2025-03-10
2753,2025A02753,LIDN2022MX,Baja Definitiva,2025CA,2025-01-28
2754,2023C02754,LIGA2020MX,Activo,2025CA,2024-08-13
2755,2022A02755,LIPS2020MX,Activo,2024CC,2024-08-05
2756,2021C02756,LIPS2020MX,Egresado,2023CC,2024-07-22
2757,2020C02757,LIIN2020MX,Titulado,2022CC,2025-03-04
2758,2020B02758,LIIN2020MX,Egresado,2022CC,2024-07-09
2759,2021C02759,LIIN2020MX,Titulado,2023CC,22/12/2024
2760,2024B02760,LICO2020MX,Activo,2025CA,2024-10-13
2761,2022A02761,LIIN2020MX,Egresado,2024CC,2024-10-21
2762,2025A02762,LIEN2022MX,Activo,2025CA,2024-06-23
2763,2018A02763,LIDN2022MX,Activo,2020CC,2025-01-21
2764,2023C02764,LISC2020MX,Activo,2025CA,2024-11-06
2765,2019C02765,LIGA2020MX,Titulado,2021CC,2025-03-06
2766,2024C02766,LIAD2020MX,Activo,2025CA,2024-09-09
2767,2021A02767,LIME2020MX,Titulado,2023CC,2024-12-13
2768,2025C02768,LIEN2022MX,Baja Temporal,2025CA,2024-09-05
2769,2020B02769,LIGA2020MX,Baja Definitiva,2022CC,2024-10-12
2770,2020A02770,LIDE2020MX,Titulado,2022CC,2024-06-09
2771,2024C02771,LIDE2020MX,Activo,2025CA,2024-06-23
2772,2024A02772,LICO2020MX, Baja Definitiva,2025CA,2024-10-02
2773,2019B02773,LIDN2022MX,Egresado,2021CC,27/02/2025
2774,2024C02774,LIEN2022MX,Activo,2025CA,2024-10-22
2775,2018C02775,LICI2020MX,Egresado,2020CC,2025-02-10
2776,2019A02776,LIME2020MX,Titulado,2021CC,2024-11-26
2777,2020C02777,LIGA2020MX,Egresado,2022CC,2024-07-27
2778,2022B02778,LIIN2020MX, Egresado,2024CC,2024-12-14
2779,2023A02779,LIIN2020MX,Activo,2024CC,2024-08-16
2780,2023A02780,LIED2020MX,Activo,2024CC,2024-10-01
2781,2023C02781,LISC2020MX,Activo,2025CA,2025-02-10
2782,2024B02782,LISC2020MX,Activo,2025CA,2024-08-21
2783,2021A02783,LICO2020MX,Activo,2023CC,2024-11-01
2784,2019C02784,LISC2020MX,Activo,2021CC,2025-02-12
2785,2022B02785,LIDE2020MX,Activo,2024CC,2025-02-09
2786,2020A02786,LICI2020MX,Egresado ,2022CC,2024-08-13
2787,2021C02787,LIED2020MX,Egresado,2023CC,2025/01/29
2788,2022A02788,LISC2020MX,ACTIVO,2024CC,2024-06-15
2789,2022A02789,LIIN2020MX,Egresado,2024CC,2024-06-14
2790,2022A02790,LIED2020MX,Titulado,2024CC,2024-06-07
2791,2025A02791,LIDN2022MX,Activo,2025CA,2024-12-30
2792,2024C02792,LIEN2022MX,Activo,2025CA,2025-02-02
2793,2023B02793,LICI2020MX,Baja  Temporal,2025CA,2024-12-05
2794,2024B02794,LICI2020MX,Activo,2025CA,2025-02-02
2795,2023A02795,LIEN2022MX,Activo,2024CC,2024-06-07
2796,2022A02796,LIME2020MX,Baja Definitiva,2024CC,2024-08-12
2797,2018A02797,LIDE2020MX,Egresado,2020CC,2024-07-07
2798,2022C02798,LIGA2020MX,Egresado,2024CC,2024-09-23
2799,2020C02799,LIED2020MX,Egresado,2022CC,2025-01-29
2800,2021C02800,LIME2020MX,Activo,2023CC,2025-01-21
2801,2022A02801,LICO2020MX,Titulado,2024CC,2024-08-28
2802,2023A02802,LIME2020MX,Baja Temporal,2025CA,2024-10-03
2803,2023C02803,LIGA2020MX,Activo,2025CA,2024-11-28
2804,2024B02804,LIME2020MX,Activo,2025CA,2024-07-01
2805,2023C02805,LIPS2020MX,Activo,2025CA,2025-02-02
2806,2024C02806,LIIN2020MX,Baja Definitiva,2024CC,2024-08-27
2807,2025C02807,LICO2020MX,Activo,2025CA,2024-06-21
2808,2025C02808,LIPS2020MX,Activo,2025CA,2024-11-06
2809,2024B02809,LIDN2022MX,Activo,2025CA,2024-10-25
2810,2021B02810,LIGA2020MX,Egresado,2023CC,2024-06-30
2811,2023C02811,LIPS2020MX,Activo,2025CA,2025-02-11
2812,2019C02812,LIDN2022MX,Titulado,2021CC,2024-10-10
2813,2024C02813,LICI2020MX,Activo,2025CA,2025-01-25
2814,2024A02814,LIEN2022MX,Baja Temporal,2025CA,2024-11-21
2815,2025B02815,LIDN2022MX,Baja Temporal,2025CA,2024-11-08
2816,2022C02816,LIIN2020MX,Baja Definitiva,2024CC,2024-12-16
2817,2022C02817,LIME2020MX,Titulado,2024CC,2024-07-04
2818,2024B02818,LICI2020MX,Activo ,2025CA,2024-12-11
2819,2024B02819,LIGA2020MX,Baja Temporal,2025CA,2024-11-26
2820,2025C02820,LIEN2022MX,Activo,2025CA,2024-08-04
2821,2020B02821,LICI2020MX,Titulado,2022CC,2025-01-30
2822,2024C02822,LICI2020MX,Activo,2025CA,2024-11-06
2823,2024B02823,LIAD2020MX,Activo,2024CC,2025-02-02
2824,2021B02824,LIGA2020MX,Egresado,2023CC,2024-08-20
2825,2023B02825,LIME2020MX,Activo,2024CC,2024-08-23
2826,2021B02826,LIEN2022MX,Activo,2024CA,2024-07-23
2827,2018B02827,LIPS2020MX,Activo,2020CC,2024-06-30
2828,2019B02828,LISC2020MX,Egresado,2021CC,2025-03-01
2828,2019B02828,LISC2020MX,Egresado,2021CC,2025-03-01
2829,2024A02829,LIEN2022MX,Activo,2025CA,2025-03-13
2830,2021B02830,LICO2020MX,Baja Definitiva,2023CC,2024-11-07
2831,2020B02831,LIAD2020MX,Egresado,2022CC,2024-08-04
2832,2019C02832,LIME2020MX,Egresado,2021CC,2025-01-27
2833,2021A02833,LIPS2020MX,Egresado,2023CC,2024-10-20
2834,2018C02834,LIIN2020MX,Titulado,2020CC,2024-10-18
2835,2023C02835,LICO2020MX,Baja Temporal,2024CC,2024-11-20
2836,2022B02836,LIDE2020MX,Egresado,2024CC,2024-07-17
2837,2024A02837,LIGA2020MX,Activo,2025CA,2025-03-12
2838,2023C02838,LIPS2020MX,Baja Definitiva,2025CA,2024-10-22
2839,2022A02839,LIIN2020MX,Titulado,2024CC,10/27/2024
2840,2025A02840,LIEN2022MX,Baja Definitiva,2025CA,2024-12-30
2841,2020B02841,LISC2020MX,Egresado,2022CC,2025-03-13
2842,2023B02842,LIDE2020MX,Activo,2025CA,2024-06-09
2843,2023A02843,LIEN2022MX,Activo,2024CC,2025-03-15
2844,2023C02844,LIME2020MX,Activo,2025CA,2024-10-05
2845,2022A02845,LIDE2020MX,Egresado,2024CC,2024-08-16
2846,2019C02846,LIIN2020MX,Egresado,2021CC,2024-09-03
2847,2024B02847,LICI2020MX,Activo,2025CA,2024-11-27
2848,2020C02848,LIDN2022MX,Titulado,2022CC,2024-09-29
2849,2023B02849,LIEN2022MX,Baja Definitiva,2024CC,2025-03-14
2850,2023C02850,LIAD2020MX,Activo,2024CC,2025-02-18
2851,2023B02851,LISC2020MX,Baja Temporal,2024CC,2024-11-19
2852,2020C02852,LIGA2020MX,Titulado ,2022CC,15-12-2024
2853,2023A02853,LIED2020MX,Activo,2024CC,2024-07-21
2854,2022A02854,LIGA2020MX,Activo,2024CC,2024-11-25
2855,2022C02855,LIPS2020MX,Activo,2024CC,2024-06-11
2856,2023C02856,LISC2020MX,Activo,2025CA,2025-02-22
2857,2025C02857,LIIN2020MX,Baja Definitiva,2025CA,2025-02-21
2858,2021C02858,LIGA2020MX,Titulado,2023CC,06/13/2024
2859,2019A02859,LISC2020MX,Titulado,2021CC,2025-01-17
2860,2023B02860,LIED2020MX,ACTIVO,2025CA,2024-06-07
2861,2024B02861,LIDE2020MX, Activo,2025CA,2024-08-31
2862,2025A02862,LIGA2020MX,Baja Temporal,2025CA,2024-06-27
2863,2023C02863,LICO2020MX,Activo,2024CC,2024-07-19
2863,2023C02863,LICO2020MX,Activo,2024CC,2024-07-19
2864,2022A02864,LICO2020MX,TITULADO,2024CC,2024-08-09
2865,2022A02865,LIAD2020MX,Activo,2024CC,2024-10-17
2866,2021A02866,LIEN2022MX,egresado,2024CA,2025-02-05
2867,2024B02867,LIAD2020MX,Activo,2024CC,2024-06-04
2868,2024B02868,LIME2020MX,Activo,2025CA,2024-06-15
2869,2024C02869,LICO2020MX,Activo,2025CA,2024-11-03
2870,2024B02870,LIIN2020MX,Activo,2025CA,2024-08-03
2871,2019C02871,LISC2020MX,Titulado,2021CC,11/08/2024
2872,2022A02872,LIIN2020MX,Titulado,2024CC,2024-07-03
2873,2021C02873,LIAD2020MX,Titulado,2023CC,2024-10-03
2874,2025C02874,LIME2020MX,Activo,2025CA,2025-01-22
2875,2020B02875,LIED2020MX,Egresado,2022CC,2024-10-09
2876,2024C02876,LIDE2020MX,Activo,2024CC,2025-01-27
2877,2024C02877,LIPS2020MX,Activo,2024CC,2025-02-07
2878,2023C02878,LICI2020MX,Activo,2025CA,2024-07-30
2879,2024B02879,LIEN2022MX,Activo,2025CA,2024-06-21
2880,2024B02880,LIIN2020MX,Activo,2024CC,2024-10-11
2881,2021B02881,LIPS2020MX,Egresado,2023CC,2025-02-21
2882,2019A02882,LIDN2022MX,Egresado,2021CC,2024-11-26
2883,2020B02883,LICI2020MX,Titulado,2022CC,2025-01-22
2884,2025A02884,LIGA2020MX,Activo,2025CA,2024-11-03
2885,2025B02885,LIEN2022MX,Baja Temporal,2025CA,2024-08-15
2886,2018B02886,LICI2020MX,Baja Definitiva,2020CC,14/03/2025
2887,2021A02887,LIME2020MX,Activo,2023CC,2025-01-20
2888,2022B02888,LIAD2020MX,Titulado,2024CC,2024-08-06
2889,2021B02889,LIDN2022MX,Titulado,2023CC,2024-11-28
2890,2024B02890,LIAD2020MX,Activo,2025CA,2025-03-13
2891,2020A02891,LIAD2020MX,titulado,2022CC,2024-07-14
2892,2025A02892,LIED2020MX,Baja Definitiva,2025CA,2024-07-28
2893,2020A02893,LIEN2022MX,Titulado,2023CA,2025-01-01
2894,2021A02894,LIGA2020MX,Titulado,2023CC,2024-11-28
2895,2024C02895,LIEN2022MX,Activo,2024CC,2024-06-15
2896,2020B02896,LIME2020MX,Egresado,2022CC,2024/06/01
2897,2021C02897,LIPS2020MX,Egresado,2023CC,2024-07-18
2898,2023C02898,LIME2020MX,Baja Temporal,2024CC,2024-12-30
2899,2021B02899,LIDN2022MX,Activo,2023CC,2024-07-28
2900,2023B02900,LIGA2020MX,Baja Temporal,2025CA,2024-12-25
2901,2022A02901,LIAD2020MX,titulado,2024CC,2024-06-15
2902,2023B02902,LISC2020MX,activo,2024CC,2024-10-26
2903,2019A02903,LIEN2022MX,Titulado,2022CA,2024-06-27
2904,2024A02904,LIGA2020MX,Activo,2024CC,2024-12-27
2905,2021B02905,LICI2020MX,Egresado,2023CC,2024-07-24
2906,2023C02906,LIDN2022MX,Activo,2025CA,2024-06-19
2907,2019B02907,LIME2020MX,Activo,2021CC,2024-06-03
2908,2023A02908,LIDE2020MX,Activo,2024CC,2025-01-11
2909,2020B02909,LISC2020MX,Egresado,2022CC,2024-08-15
2910,2023A02910,LIME2020MX,Baja Temporal,2025CA,2025-03-07
2911,2018C02911,LIEN2022MX,Baja Definitiva,2021CA,2025-03-01
2912,2023C02912,LIIN2020MX,Activo,2025CA,2024-10-02
2913,2025C02913,LIME2020MX,Activo,2025CA,2024-09-03
2914,2018A02914,LIDE2020MX,Baja Definitiva,2020CC,2025-01-18
2915,2021B02915,LIME2020MX,Egresado,2023CC,2025-01-17
2916,2019B02916,LISC2020MX,Titulado,2021CC,2024-11-21
2917,2023C02917,LIAD2020MX,Baja Temporal,2024CC,2025-02-03
2918,2025A02918,LISC2020MX,Baja Definitiva,2025CA,2025-02-24
2918,2025A02918,LISC2020MX,Baja Definitiva,2025CA,2025-02-24
2919,2019A02919,LIED2020MX,Titulado,2021CC,2024-09-05
2920,2025B02920,LICI2020MX,Activo,2025CA,07/30/2024
2921,2025B02921,LIIN2020MX,activo,2025CA,2024-08-19
2922,2021B02922,LISC2020MX,Egresado,2023CC,2024-12-08
2923,2023B02923,LICI2020MX,Baja Definitiva,2025CA,2024-12-26
2924,2022A02924,LISC2020MX,Activo,2024CC,2025-03-01
2925,2018B02925,LISC2020MX,Egresado,2020CC,2024-10-27
2926,2021A02926,LISC2020MX,Titulado,2023CC,2024-08-31
2927,2022C02927,LIGA2020MX,Activo,2024CC,2024-10-18
2928,2023B02928,LIED2020MX,Activo,2025CA,2024-09-03
2929,2022A02929,LIED2020MX,Egresado,2024CC,2024-11-25
2930,2022A02930,LIED2020MX,Activo,2024CC,2024-06-15
2931,2024A02931,LIIN2020MX,Activo,2025CA,2024-12-16
2932,2019C02932,LICI2020MX,Egresado,2021CC,2024-12-04
2933,2019B02933,LIME2020MX,Titulado,2021CC,2024-12-13
2934,2024B02934,LIED2020MX,Activo,2025CA,2024-08-23
2935,2020A02935,LICO2020MX,Baja Definitiva,2022CC,29 Nov 2024
2936,2024C02936,LIDE2020MX,Activo,2025CA,2024/11/20
2937,2024A02937,LIEN2022MX,Activo,2024CC,2024-10-05
2938,2024B02938,LIED2020MX,Activo,2024CC,2024-10-26
2939,2021A02939,LIPS2020MX,Activo,2023CC,2025-02-11
2940,2021A02940,LIAD2020MX,Activo,2023CC,2024-06-09
2941,2018A02941,LIAD2020MX,Egresado,2020CC,2024-06-01
2941,2018A02941,LIAD2020MX,Egresado,2020CC,2024-06-01
2942,2023A02942,LIED2020MX,Activo,2025CA,2024-09-20
2943,2024C02943,LIED2020MX,Activo,2024CC,2024-06-23
2944,2025B02944,LIEN2022MX,Activo,2025CA,2024-08-02
2945,2024A02945,LIPS2020MX,Baja Definitiva,2025CA,2024/12/25
2946,2025A02946,LIIN2020MX,Activo,2025CA,2024-11-17
2947,2023B02947,LIED2020MX,Activo,2024CC,2025-01-13
2948,2020A02948,LIDN2022MX,Titulado,2022CC,2024-09-16
2949,2023C02949,LIPS2020MX,Baja Temporal,2025CA,2024-12-06
2950,2019C02950,LIEN2022MX,Baja Definitiva,2022CA,17 Feb 2025
2951,2022C02951,LIIN2020MX,Titulado,2024CC,2025-01-04
2952,2018A02952,LIED2020MX,Titulado,2020CC,2025-01-30
2953,2022C02953,LIDE2020MX,Egresado,2024CC,2024-12-18
2954,2024A02954,LIDE2020MX,Baja Temporal,2025CA,2024-06-28
2955,2023B02955,LICI2020MX,Activo,2025CA,14 Nov 2024
2956,2024C02956,LIDN2022MX,Activo,2025CA,2025-02-19
2957,2019C02957,LIDN2022MX,Titulado,2021CC,2024-12-28
2958,2021B02958,LIED2020MX,Egresado,2023CC,2025-02-22
2959,2023C02959,LISC2020MX,Activo,2024CC,2024-11-21
2960,2020C02960,LICI2020MX,Titulado,2022CC,2025-02-01
2961,2021A02961,LIEN2022MX,Egresado,2024CA,2024-12-28
2962,2023B02962,LIAD2020MX,Activo,2024CC,2024-11-20
2963,2023A02963,LIED2020MX,Activo,2024CC,2025-01-25
2964,2019C02964,LIDE2020MX,Egresado,2021CC,2024-08-20
2965,2021B02965,LIAD2020MX,Baja Definitiva,2023CC,2025-01-07
2966,2023C02966,LICI2020MX,Activo,2024CC,2025-02-12
2966,2023C02966,LICI2020MX,Activo,2024CC,2025-02-12
2967,2019C02967,LIPS2020MX,Titulado,2021CC,2025-01-18
2968,2022C02968,LIDE2020MX,Titulado,2024CC,2024-12-19
2969,2023A02969,LICO2020MX,Activo,2024CC,2024-08-19
2970,2021B02970,LICI2020MX,Baja Definitiva,2023CC,2024-06-14
2971,2024B02971,LICI2020MX,Baja Definitiva,2025CA,2025-01-10
2972,2025A02972,LIPS2020MX,Activo,2025CA,2024-06-24
2973,2023C02973,LIDN2022MX,Activo,2024CC,2024-06-02
2974,2022A02974,LIPS2020MX,Egresado,2024CC,2024-10-12
2975,2023A02975,LIAD2020MX,Activo,2025CA,2024-09-26
2976,2021A02976,LIME2020MX,Egresado,2023CC,2024-08-09
2977,2018A02977,LISC2020MX,Activo,2020CC,2025-03-10
2978,2021C02978,LIIN2020MX,Egresado,2023CC,2024-10-13
2979,2023B02979,LIDE2020MX,Activo,2025CA,2025-01-12
2980,2022C02980,LIPS2020MX,Egresado,2024CC,2024-06-07
2981,2021A02981,LIAD2020MX,Titulado,2023CC,2025-01-29
2982,2024B02982,LIDE2020MX,Activo,2025CA,2025-02-16
2983,2024A02983,LIED2020MX,Activo,2024CC,2024-08-26
2984,2020C02984,LIAD2020MX,Baja Definitiva,2022CC,2024-10-09
2985,2024C02985,LIDE2020MX,Activo,2025CA,2025-02-04
2986,2024A02986,LISC2020MX,Baja Temporal,2024CC,2024-08-01
2987,2019C02987,LISC2020MX,Egresado,2021CC,2025-01-24
2988,2022C02988,LIME2020MX,Titulado,2024CC,2024-06-10
2989,2022B02989,LIEN2022MX,Egresado,2025CA,2024-12-23
2990,2023A02990,LIDN2022MX,Activo,2024CC,2025-02-13
2991,2024A02991,LIDN2022MX, Baja Definitiva,2024CC,2024-08-08
2992,2023A02992,LIGA2020MX,Activo,2025CA,2025-01-12
2993,2024C02993,LIDE2020MX,Baja Definitiva,2025CA,2024-08-06
2994,2024C02994,LIED2020MX,Activo,2025CA,2024-12-03
2995,2024B02995,LIPS2020MX,Activo,2024CC,2024-07-29
2996,2024A02996,LIPS2020MX,Activo,2025CA,2024-09-23
2997,2025A02997,LICI2020MX,Activo,2025CA,2024-06-26
2998,2018A02998,LIEN2022MX,Titulado,2021CA,2024-07-09
2999,2024B02999,LISC2020MX,Activo,2025CA,2024-07-31
3000,2024A03000,LIGA2020MX,Activo,2025CA,2025-01-27
3001,2022B03001,LIDN2022MX,Baja Definitiva,2024CC,10/22/2024
3002,2023B03002,LIDN2022MX,Activo,2024CC,2025-01-29
3003,2023B03003,LIGA2020MX,Activo,2025CA,2024-08-16
3004,2023A03004,LICO2020MX,Baja Temporal,2024CC,2025-01-08
3004,2023A03004,LICO2020MX,Baja Temporal,2024CC,2025-01-08
3005,2025C03005,LICO2020MX,Activo,2025CA,2024-08-13
3006,2021C03006,LIEN2022MX,Baja Definitiva,2024CA,2025-03-06
3007,2021B03007,LIAD2020MX,Activo,2023CC,2024-06-03
3008,2025C03008,LIME2020MX,Activo,2025CA,2024-10-24
3009,2021C03009,LIED2020MX,Activo,2023CC,2024-10-30
3010,2023C03010,LIED2020MX,Activo,2025CA,2024-08-29
3011,2023A03011,LIDN2022MX,Activo,2024CC,2024-10-27
3012,2025A03012,LIME2020MX,Activo,2025CA,2024-10-08
3013,2020A03013,LIPS2020MX,Activo,2022CC,2025-01-29
3014,2025A03014,LIAD2020MX,Activo,2025CA,2024-09-10
3015,2025A03015,LICO2020MX,Activo,2025CA,2025-02-07
3016,2024C03016,LICO2020MX,Baja Temporal,2025CA,2025-01-30
3017,2025C03017,LIGA2020MX,Activo,2025CA,2024-08-10
3018,2024A03018,LIGA2020MX,Activo,2024CC,2025-03-15
3019,2023C03019,LIDN2022MX,Activo,2025CA,2025-02-11
3020,2020C03020,LIDE2020MX,Titulado,2022CC,2024-10-27
3021,2025C03021,LIAD2020MX,Activo,2025CA,2025-03-07
3022,2022B03022,LIME2020MX,Egresado,2024CC,2024-06-25
3023,2023A03023,LIAD2020MX,Activo,2025CA,2024-09-12
3024,2023A03024,LICI2020MX,Activo,2025CA,2024-12-08
3025,2020A03025,LIGA2020MX,Titulado,2022CC,2024-07-22
3026,2024B03026,LIDE2020MX,Activo,2025CA,2024-10-31
3026,2024B03026,LIDE2020MX,Activo,2025CA,2024-10-31
3027,2023C03027,LIIN2020MX,Baja Temporal,2025CA,2025-03-03
3028,2021A03028,LICO2020MX,Titulado,2023CC,2024-10-06
3029,2024B03029,LIIN2020MX,Activo,2025CA,2024-07-04
3030,2023C03030,LIAD2020MX,Activo,2024CC,2024-10-08
3031,2022C03031,LIEN2022MX,Activo,2024CC,2024-10-19
3032,2022A03032,LIIN2020MX,Egresado,2024CC,2024-12-04
3033,2024A03033,LICI2020MX,Activo,2024CC,2024-09-08
3034,2018C03034,LIGA2020MX,Egresado,2020CC,2024-11-11
3035,2023B03035,LIED2020MX,Activo,2025CA,2024-10-08
3036,2022B03036,LIDN2022MX,Baja Definitiva,2024CC,2024-08-28
3037,2024C03037,LIME2020MX,Activo,2025CA,2024-07-18
3038,2022C03038,LIAD2020MX,Egresado,2024CC,2024-07-12
3039,2025C03039,LISC2020MX,Activo,2025CA,2024-12-21
3040,2019C03040,LISC2020MX,Titulado,2021CC,2024-06-05
3041,2019A03041,LIGA2020MX,Egresado,2021CC,2024-06-01
3042,2023C03042,LIDN2022MX, Activo,2024CC,2024-09-01
3043,2023C03043,LISC2020MX,Activo,2025CA,2025-02-09
3044,2023B03044,LISC2020MX,Activo,2025CA,2024-10-30
3045,2019A03045,LICI2020MX,Egresado,2021CC,2024-08-08
3046,2022B03046,LIIN2020MX,Egresado,2024CC,2024-07-28
3047,2021C03047,LIED2020MX,Egresado,2023CC,2024-12-25
3048,2023A03048,LIAD2020MX,Activo,2025CA,2024-10-02
3049,2021A03049,LISC2020MX,Egresado,2023CC,2024-12-14
3050,2023C03050,LIED2020MX,Activo,2025CA,2025-02-07
3051,2023B03051,LIGA2020MX,Activo,2024CC,06/17/2024
3052,2022C03052,LIDE2020MX,Egresado,2024CC,2025-01-05
3053,2018A03053,LIDE2020MX,Titulado,2020CC,2024-09-11
3054,2024C03054,LIEN2022MX,Activo,2025CA,2024-11-03
3055,2024B03055,LICO2020MX,Activo,2024CC,2025-03-09
3056,2024C03056,LIIN2020MX,Activo,2025CA,2024-06-26
3057,2021A03057,LIGA2020MX,Titulado,2023CC,2025-02-12
3058,2022B03058,LIGA2020MX,Titulado,2024CC,2024-11-22
3059,2024A03059,LICO2020MX,Activo,2025CA,2024-07-02
3060,2021C03060,LIGA2020MX,Egresado,2023CC,2024-10-21
3061,2023C03061,LIEN2022MX,Activo,2025CA,2024-06-27
3062,2023C03062,LIEN2022MX,Baja Temporal,2025CA,2025-02-28
3063,2020A03063,LIGA2020MX,Titulado,2022CC,2024-08-10
3064,2025B03064,LICO2020MX,Baja Definitiva,2025CA,2024-12-30
3065,2024A03065,LIED2020MX,Activo,2024CC,2025-03-11
3066,2019B03066,LISC2020MX,Egresado,2021CC,2024-07-29
3067,2025C03067,LIDN2022MX,Baja Definitiva,2025CA,2025-01-17
3068,2018B03068,LIIN2020MX,Titulado,2020CC,2025-01-21
3069,2022A03069,LIDE2020MX,Titulado,2024CC,2024-08-14
3070,2019A03070,LISC2020MX,Activo,2021CC,2024-11-01
3071,2023B03071,LIDE2020MX,Activo,2025CA,2024-06-25
3072,2024B03072,LIED2020MX,Activo,2024CC,2024-07-01
3073,2022B03073,LIGA2020MX,Titulado,2024CC,2024-08-25
3074,2023C03074,LIDE2020MX,Baja Definitiva,2025CA,2024-11-23
3075,2024B03075,LIDN2022MX,Activo,2025CA,2025-03-03
3076,2020C03076,LIIN2020MX,Titulado,2022CC,2025-02-04
3077,2024C03077,LIAD2020MX,Activo,2024CC,2024-11-24
3078,2020C03078,LIEN2022MX,Activo,2023CA,2024-11-10
3079,2023A03079,LIME2020MX,Activo,2025CA,2025-01-06
3080,2022A03080,LIPS2020MX,Activo,2024CC,2024-08-06
3081,2021B03081,LIDE2020MX,Titulado,2023CC,2024-10-05
3082,2024C03082,LIAD2020MX,Activo,2025CA,2024-09-23
3083,2025B03083,LIPS2020MX,Baja Temporal,2025CA,2024-08-05
3084,2022B03084,LIDE2020MX,Egresado,2024CC,2024-07-19
3085,2018A03085,LICI2020MX,Titulado,2020CC,2024-09-10
3086,2024C03086,LIPS2020MX,Activo,2024CC,2024-08-08
3087,2024C03087,LICO2020MX,Baja Temporal,2024CC,2024-08-14
3088,2023B03088,LIDN2022MX,Baja Definitiva,2025CA,2025-01-29
3089,2023A03089,LIEN2022MX,Activo,2025CA,2024-06-05
3090,2023A03090,LICO2020MX,Baja Temporal,2024CC,2025-02-24
3091,2024B03091,LIDE2020MX,Activo,2025CA,2024-08-12
3092,2020C03092,LISC2020MX,Titulado,2022CC,2024-11-29
3093,2019B03093,LIED2020MX,Egresado,2021CC,2025-03-10
3094,2020B03094,LIGA2020MX,baja definitiva,2022CC,2024-12-04
3095,2024A03095,LIIN2020MX,Activo,2024CC,2024-09-01
3096,2019A03096,LIME2020MX,Egresado,2021CC,2024-06-02
3097,2023C03097,LIDN2022MX,Activo,2025CA,2025-03-07
3098,2020C03098,LIED2020MX,Baja Definitiva,2022CC,2025-02-23
